Object Class,"Position (x,y,z)"
person,"(-0.26450772052001126,-0.2101080776813349,1.5438641536619082)"
person,"(0.2291975315017788,-0.08670224508539454,1.103093174322422)"
person,"(0.33038683951592185,-0.0911213024487794,1.0872586406630467)"
person,"(-0.41047592122717164,-0.20343171917380817,1.481573889389623)"
person,"(0.45359807341026825,-0.07294638898347346,1.0790361029824183)"
person,"(0.3636067848145704,-0.0655856084671173,1.095203050977602)"
person,"(0.5316605139041698,-0.17429385754110513,1.2393555794456876)"
person,"(0.619669390818531,-0.17574040452483441,1.4824410489525228)"
person,"(0.6887399583217446,-0.27422617275370526,1.6194170327636452)"
person,"(0.7107862306825344,-0.36951936323373763,1.9606495480959907)"
person,"(-0.7931011615409477,-0.2594170602652407,2.605920210103194)"
person,"(-0.8212301633571224,-0.3427750447383419,2.0227345071910157)"
person,"(-0.8398639736617443,-0.3446988627551164,2.0934153969636466)"
person,"(-0.9013166829423852,-0.3783531304493125,2.177462373942866)"
person,"(-0.9452146648607116,-0.35242058424585126,2.1639033866443715)"
person,"(-0.5834130698161294,-0.2637932044140635,1.806549648529519)"
person,"(-1.8721231803144638,-0.45029407384913045,2.877310414178032)"
bottle,"(1.894099247615378,0.37499254019776895,4.409333429654439)"
laptop,"(-0.2730624722425178,-0.7270279336674278,2.0790669139995446)"
